t,id,drive,speed.kmh,occ_nr,x,y,yaw,steer,off,speed,leftTLC,rightTLC,report,OT.or.duration,OTTLC,true.TLC,FADE1.leftTLC,FADE1.rightTLC,FADE1.off,FADE1.TLC.min,FADE0.TLC.min,steer.ampl,steer.min,steer.max,steer.avg,steer.sd,offset.min,offset.max,offset.avg,offset.sd,steer.ampl.360,filter_$,lane.cross,lane.cross.copy,id2,total.search.time,fade1.tlc.min.abs,fade1.off.abs,OT.mean,drive.copy,drive.0
131.297485,P01,9,100,46,9687.951172,1562.244141,-99.117981,.000488,1.10758,27.7779,.1,4.8,"{""type"":""M"",""msg"":""FADE0"",""time"":131.267,""dist"":3.49216}",4.27377299999999,4.37377299999999,0,14.3,22.3,.821718,14.3,.1,.003336,-.002848,.000488,-.00144218604651163,.000959848803962026,.794657,1.10758,.857361813953488,.0854344071727812,1.20096,1,1,1,P01,72.39933332,14.3,.821718,1.87783157894737,9,9
138.501129,P01,9,100,48,9649.132813,1365.916138,-100.726479,-.005534,-1.480736,27.7781,-.910171,.6,"{""type"":""M"",""msg"":""FADE0"",""time"":138.477,""dist"":3.69251}",4.16104099999998,3.25086999999999,3.25086999999999,29.5,6.8,.641455,6.8,-.910171,.013397,-.005534,.007863,.00363521428571429,.00408239910654958,-1.873691,1.748184,.349794023809524,.795949109716147,4.82292,1,1,1,P01,72.39933332,6.8,.641455,1.87783157894737,9,9
139.617035,P01,9,100,49,9642.754883,1335.583618,-104.630814,-.037559,-.558992,27.7665,-2.026077,-.812744,"{""type"":""M"",""msg"":""FADE0"",""time"":139.539,""dist"":3.72203}",.607726999999983,-1.41835000000002,0,-1.41835,-.205017,-.842603,-1.41835,-2.026077,.013812,-.04593,-.032118,-.0412064285714286,.00498507334807767,-.842603,-.550862,-.645409571428571,.110591510760482,4.97232,1, ,0,P01,72.39933332,1.41835, ,1.87783157894737,9,9
140.429916,P01,9,100,50,9636.578125,1313.86438,-106.88311,-.003866,-1.208833,27.7804,-2.838958,7.3,"{""type"":""M"",""msg"":""FADE0"",""time"":140.419,""dist"":3.74645}",.304687000000001,-2.534271,0,-2.534271,-1.320938,-.884393,-2.534271,-2.838958,.011596,-.015462,-.003866,-.00920625,.00518966154162934,-1.208833,-.884393,-1.04488775,.139502196234504,4.17456,1,1,1,P01,72.39933332,2.534271,.884393,1.87783157894737,9,9
143.883041,P01,9,100,53,9608.488281,1222.112427,-107.358086,-.006714,.244145,27.7781,13,6.8,"{""type"":""M"",""msg"":""FADE0"",""time"":143.86,""dist"":3.84207}",1.01139799999999,7.81139799999999,0,5.9,9.1,.508586,5.9,6.8,.00822,-.009074,-.000854,-.006492,.00233369569567242,.244145,.508586,.382944272727273,.0880894213513642,2.9592,1, ,0,P01,72.39933332,5.9, ,1.87783157894737,9,9
146.823654,P01,9,100,54,9583.735352,1144.244751,-107.381683,.002197,.510661,27.7776,1.3,3.5,"{""type"":""M"",""msg"":""FADE0"",""time"":146.801,""dist"":3.92381}",2.43383800000001,3.73383800000001,0,6.6,9.1,.082744,6.6,1.3,.005869,-.003377,.002492,.00169228,.00150566548188279,-.07938,.510661,.07561828,.171387592949315,2.11284,1, ,0,P01,72.39933332,6.6, ,1.87783157894737,9,9
149.155609,P01,9,100,55,9562.927734,1082.891602,-110.083801,-.007243,1.714433,27.7786,-1.523376,7.4,"{""type"":""M"",""msg"":""FADE0"",""time"":149.135,""dist"":3.98865}",1.82894899999999,.30557300000001,.30557300000001,.6,8.3,.936726,.6,-1.523376,.012125,-.019002,-.006877,-.0107957894736842,.00515889895206921,.936726,1.714433,1.38808536842105,.229242148372562,4.365,1,1,1,P01,72.39933332,.6,.936726,1.87783157894737,9,9
152.301071,P01,9,100,57,9528.84375,1002.455688,-113.676331,.015269,.250428,27.7791,2.2,3.7,"{""type"":""M"",""msg"":""FADE0"",""time"":152.286,""dist"":4.0762}",.912247000000008,3.11224700000001,0,7.6,9.6,.856732,7.6,2.2,.012451,.002818,.015269,.0118959,.00383756040705261,.250428,.856732,.4850654,.211258100827821,4.48236,1, ,0,P01,72.39933332,7.6, ,1.87783157894737,9,9
155.038635,P01,9,100,58,9497.201172,933.294861,-116.13208,-.010091,.449283,27.7785,14.7,9.5,"{""type"":""M"",""msg"":""FADE0"",""time"":154.943,""dist"":4.15003}",2.229873,11.729873,0,37.9,43.3,.347406,37.9,9.5,.01833,-.024027,-.005697,-.0108394347826087,.00550248164530487,.347406,.501819,.467768217391304,.0371032407981206,6.5988,1, ,0,P01,72.39933332,37.9, ,1.87783157894737,9,9
159.097473,P01,9,100,59,9445.050781,833.310486,-119.018402,-.010417,1.503065,27.7777,-.60852,4.8,"{""type"":""M"",""msg"":""FADE0"",""time"":159,""dist"":4.26276}",3.55166600000001,2.94314600000001,2.94314600000001,4.7,7.5,.402679,4.7,-.60852,.008057,-.010417,-.00236,-.00533727777777778,.00142938117701555,.391174,1.503065,.751200555555556,.347723572488299,2.90052,1,1,1,P01,72.39933332,4.7,.402679,1.87783157894737,9,9
164.572601,P01,9,100,62,9361.103516,706.562988,-126.909988,-.010579,1.100557,27.7772,30.8,38.2,"{""type"":""M"",""msg"":""FADE0"",""time"":164.523,""dist"":4.41622}",.710296,31.510296,0,26.2,18,1.096216,18,30.8,.003866,-.014445,-.010579,-.0125375,.00139591045558087,1.096216,1.105826,1.1017425,.0032850505105923,1.39176,1,1,1,P01,72.39933332,18,1.096216,1.87783157894737,9,9
166.80162,P01,9,100,63,9322.515625,658.129822,-130.177902,-.010417,.622115,27.7782,34.8,13.5,"{""type"":""M"",""msg"":""FADE0"",""time"":166.723,""dist"":4.47736}",1.723938,15.223938,0,10.4,7.6,1.078867,7.6,13.5,.008423,-.017985,-.009562,-.0122273333333333,.00308192562035682,.622115,1.078867,.879484166666667,.153090699179681,3.03228,1, ,0,P01,72.39933332,7.6, ,1.87783157894737,9,9
169.033173,P01,9,100,64,9282.010742,611.182739,-131.283508,-.004028,.797678,27.7775,1,3.7,"{""type"":""M"",""msg"":""FADE0"",""time"":168.947,""dist"":4.53914}",1.72358700000001,2.72358700000001,0,3.4,5.5,.468948,3.4,1,.005859,-.004028,.001831,-.00262005555555556,.00159589991106704,.419181,.797678,.524212944444444,.120215503448389,2.10924,1, ,0,P01,72.39933332,3.4, ,1.87783157894737,9,9
175.731461,P01,9,100,68,9146.051758,484.44278,-140.926498,-.007894,.781622,27.7774,1.6,5.8,"{""type"":""M"",""msg"":""FADE0"",""time"":175.637,""dist"":4.72503}",2.640198,4.240198,0,6.3,9.6,.728755,6.3,1.6,.00354,-.008748,-.005208,-.00676666666666667,.00106022581049075,.511339,.781622,.597722814814815,.0811810971603408,1.2744,1, ,0,P01,72.39933332,6.3, ,1.87783157894737,9,9
177.453949,P01,9,100,69,9108.213867,455.146118,-143.55954,-.010579,1.311185,27.7782,-.809128,9.8,"{""type"":""M"",""msg"":""FADE0"",""time"":177.431,""dist"":4.77489}",1.21620199999998,.407073999999994,.407073999999994,9,7.2,.997977,7.2,-.809128,.013518,-.022266,-.008748,-.0129124615384615,.00526093684013574,.997977,1.311185,1.16519430769231,.09640253091455,4.86648,1,1,1,P01,72.39933332,7.2,.997977,1.87783157894737,9,9
182.121094,P01,9,100,72,8999.006836,385.354492,-150.038696,-.005046,.776411,27.7782,1.8,4.8,"{""type"":""M"",""msg"":""FADE0"",""time"":182.112,""dist"":4.90495}",1.51786799999999,3.31786799999999,0,5.2,8.2,.891873,5.2,1.8,.001709,-.006063,-.004354,-.005394125,.000722203099319483,.724411,.891873,.7726618125,.0513335106146966,.61524,1, ,0,P01,72.39933332,5.2, ,1.87783157894737,9,9
183.644104,P01,9,100,73,8961.922852,364.984375,-152.913223,-.013794,1.09937,27.777,9.5,7.7,"{""type"":""M"",""msg"":""FADE0"",""time"":183.567,""dist"":4.94537}",1.01779199999999,8.71779199999999,0,9.6,8,.916134,8,7.7,.009972,-.022911,-.012939,-.0184029090909091,.0037882109353769,.916134,1.09937,1.03078581818182,.0617964454411711,3.58992,1, ,0,P01,72.39933332,8, ,1.87783157894737,9,9
190.448563,P01,9,100,75,8788.481445,289.955353,-160.154282,-.010905,.559885,27.7775,1.3,15.1,"{""type"":""M"",""msg"":""FADE0"",""time"":190.428,""dist"":5.13601}",2.752182,4.052182,0,4.4,6.2,.574009,4.4,1.3,.008708,-.010905,-.002197,-.00937314285714286,.00247627896941995,.284741,.574009,.430204392857143,.10345737034996,3.13488,1, ,0,P01,72.39933332,4.4, ,1.87783157894737,9,9
