ID,age,driving.exp.years,kilometers.per.year,lifetime.kilometers,Jostoinenkuljettajak√§ytt√§ytyyvihamielisestimoniakohtaanm,Joidenkinihmistenluonnemuuttuukunheajavatautolla2,Josjokutekeevaarallisenvirheenliikenteess√§taiajaaholtittomas,Vihamielinenk√§ytt√§ytyminenliikenteess√§johtuup√§,Joskussuutunajaessaniniinpaljonett√§minunonyksinkertaisestipu,Poliisieikiinnit√§tarpeeksihuomiotavihamieliseenk√§ytt√,Mitensuhtaudutteautollaajamiseen,AV,OV,Errors,Lapses,visual.search.subtest3,drv.ot.mean,drv.ot.median,drv.ot.sd,driving.10.mean,driving.10.median,driving.10.std,driving.15.mean,driving.15.median,driving.15.std,driving.20.mean,driving.20.median,driving.20.std,no.driving.10.mean,no.driving.10.median,no.driving.10.std,no.driving.15.mean,no.driving.15.median,no.driving.15.std,no.driving.20.mean,no.driving.20.median,no.driving.20.std,driving.10NT.mean,driving.10NT.median,driving.10NT.std,driving.15NT.mean,driving.15NT.median,driving.15NT.std,driving.20NT.mean,driving.20NT.median,driving.20NT.std,no.driving.10NT.mean,no.driving.10NT.median,no.driving.10NT.std,no.driving.15NT.mean,no.driving.15NT.median,no.driving.15NT.std,no.driving.20NT.mean,no.driving.20NT.median,no.driving.20NT.std,drive1.glances,drive2.glances,drive3.glances,drive3.glances.minus11,drive4.glances,drive5.glances,drive6.glances,drive7.glances,drive8.glances,drive4.glances.minus11,drive5.glances.minus11,drive6.glances.minus16,drive7.glances.minus16,drive8.glances.minus16,DBQ,driving.10.total,driving.15.total,driving.20.total,no.driving.10.total,no.driving.15.total,no.driving.20.total,driving.10NT.total,driving.15NT.total,driving.20NT.total,no.driving.10NT.total,no.driving.15NT.total,no.driving.20NT.total,NT10.g.duration.mean,NT10.g.duration.mdn,NT10.g.duration.std,NT15.g.duration.mean,NT15.g.duration.mdn,NT15.g.duration.std,NT20.g.duration.mean,NT20.g.duration.mdn,NT20.g.duration.std,total.time.NT
P11,29,5.5,1000,5000,1,4,3,2,1,2,3,0,1.125,0,.875,50,2.70849038461538,2.5565,1.64412806526857,3.2213000058,3.3485000135,.963989255926367,6.2886000396,5.6815000775,4.77826673876765,6.8644999741,5.766499996,4.85390717786705,3.288599992,3.350500107,.910992537818447,5.8592999696,4.9769999985,3.71579080298723,7.0864999762,6.707999945,3.80251206530654,5.7145332972,5.474999905,1.40533561481564,8.51553335133333,7.784999847,2.79280810877534,10.6562000133333,10.63199997,1.76457016716245,4.4466666858,4.558000088,.849935428840199,5.17173331573333,5.507999897,1.49853143842751,8.59219999253333,8.625999928,2.71276262870487,58,45,33,22,39,49,67,96,87,28,38,51,80,71,2,32.21300006,62.8860004,68.64499974,32.88599992,58.5929997,70.86499976,85.71799946,127.7330003,159.8430002,66.70000029,77.57599974,128.8829999,1289.31343,1273,733.770652,1271.09375,1183,578.05793,1533.11494,1463,775.028258,124.43133332
P12,23,6,12500,55000,2,4,4,3,1,3,3,.333333333333333,.875,.375,.875,40.7407407407407,3.16112040816327,3.19770000000001,.775096989624414,1.9656000138,1.4835000035,.801077362315037,4.3044000149,4.5730000735,2.24591200591556,3.577499938,3.0434999465,1.95908991151356,1.874699998,2.0100001095,.478896414475344,5.0427999729,4.718500137,3.12295484834148,4.3495000123,3.3394999505,2.57725747282078,6.59613329566667,6.179000139,1.12507777923466,5.8522666772,5.539999962,1.28515811634492,8.4305333456,8.947000027,1.48397333470921,3.87033335373333,3.970000029,.89124230204239,4.60186665853333,4.977999926,1.32758230847245,9.0249333226,8.892999887,2.29779469401371,82,49,22,11,32,33,75,59,78,21,22,59,43,62,2.45833333333333,19.65600014,43.04400015,35.77499938,18.74699998,50.42799973,43.49500012,98.94199944,87.78400016,126.4580002,58.05500031,69.02799988,135.3739998,1215.3733,1199,476.310192,1459.77966,1465,657.674851,1569.74359,16785,607.46423,104.3946666
P13,25,4,2000,10000,2,4,4,2,2,1,4,0,1.75,.75,1.875,44.4444444444444,2.42811333333333,2.26155,.748139749355006,4.8339000226,3.7440000775,2.70360784337759,5.5748000386,5.6514999865,2.61671353365146,5.2703000308,5.1020001175,2.0699819541276,2.3978999615,2.195499897,.977395932491767,5.1088999747,4.5599999425,2.65392205937161,3.5839000226,3.0195000175,2.22882976932543,8.59113329286667,8.849999905,3.01162765545068,7.16273334826667,7.022000074,1.1649075624573,12.1210000048,11.40799999,3.78441862241039,4.42633325266667,4.325999975,.684660058903903,8.2377333644,8.479000092,2.72343584918129,7.59466668773333,7.694999933,.716746858779908,54,57,28,17,39,39,78,49,60,28,28,62,33,44,4.375,48.33900023,55.74800039,52.70300031,23.97899962,51.08899975,35.83900023,128.8669994,107.4410002,181.8150001,66.39499879,123.5660005,113.9200003,1707.85897,1808,878.329165,2274.22449,2490,1151.95045,2406.1,2494.5,1175.7803,139.374333233333
P14,32,14,2000,40000,1,5,4,1,1,3,3,.333333333333333,.5,.375,.875,62.9629629629629,1.81474266666667,1.3045,1.1737023748129,3.5536000491,3.611500025,1.23268943720355,7.7236999511,5.8140000105,7.11432768202264,5.8440999748,5.801999927,2.65149759457193,2.661800027,2.771000028,.559954286374447,4.5604000326,4.637500048,2.3389600230893,2.308799982,2.055999875,1.09758588521973,4.4534666698,4.163000107,1.29981807299927,6.54093335466667,6.117000103,1.88078211271547,9.4753333726,9.697999954,1.9267603259282,3.59853329666667,3.860999823,.915066590361057,5.07380000753333,5.429000139,1.55143287136697,6.40766666733333,6.376999855,.708205507636945,44,41,27,16,40,37,48,68,73,29,26,32,52,57,2.08333333333333,35.53600049,77.23699951,58.44099975,26.61800027,45.60400033,23.08799982,66.80200005,98.11400032,142.1300006,53.97799945,76.10700011,96.11500001,1337.4375,1375,653.148835,1128.11765,1072,529.69097,1336.72603,1353,598.552612,102.34866699
P15,25,7,6500,35000,2,4,3,2,1,2,3,0,1,1.125,1.25,40.7407407407407,2.06391323529412,2.0945,.593629023535243,4.2525999785,4.3169999125,1.62660308445723,6.0707999464,4.750499964,5.05117806296445,6.5136499881,6.13349998,2.84128679319201,3.8428500179,3.5590000155,1.99967751896865,3.964800024,3.8224999905,1.87593933517632,6.383699965,6.391499996,3.92749689955849,6.86453328053333,5.787999868,3.60340649238457,10.6394000375333,11.16000009,2.22213466986654,13.7960666335333,11.6329999,6.03488832921817,5.74546666143334,5.576500058,1.87778364261487,7.44306669246667,7.084000111,2.23694818283242,12.1239999926667,11.40299988,2.81761603203227,67,58,30,19,38,34,48,67,60,27,23,32,51,44,3.375,42.52599979,60.70799946,130.2729998,76.85700036,39.64800024,63.83699965,102.9679992,159.5910006,206.9409995,172.3639998,111.6460004,181.8599999,1674.10417,1581,826.835193,1559.47761,1546,762.923034,1878.76667,1902,819.196989,156.499999766667
P16,22,4, , ,2,5,4,2,3,4,4,1,1.375,.5,1.5, ,1.80549863013699,1.90000000000001,.567862326452153,2.8662000179,2.25,1.32272260809398,4.5319000004,5.141000032,1.99944538426365,5.5748999835,5.8450000285,2.10620992413348,2.6340500354,2.647500038,.657527456013473,4.9834999799,3.4529999495,5.37779629802517,4.7532999991,4.8664999005,2.40893927663903,6.6126666864,7.003999949,1.78828332186934,8.15640004486667,8.713999987,2.52368737570054,9.690533352,10.15899992,2.16234157764714,7.338266627,7.578999996,2.06652620342245,8.14226668673333,8.184000015,1.03999077539984,11.8508666664,11.99699998,2.1449195732315,48,56,21,10,25,29,50,54,54,14,18,34,38,38,4.375,28.66200018,45.319,55.74899984,52.68100071,49.8349998,47.53299999,99.1900003,122.3460007,145.3580003,110.0739994,122.1340003,177.763,2166.6,1983,1451.26812,2411.33333,1738.5,1867.54897,2702.51852,2248,2027.70925,122.298000433333
P17,24,5, , ,1,5,3,2,1,4,3,0,.625,0,.875,51.8518518518519,1.77055066666667,1.80300000000003,.660419410631411,3.7833000183,3.700999975,1.24663284165522,5.0422000403,4.251000047,2.87524740212075,5.9011999848,4.323500037,3.47660197202637,2.4701000213,2.1085000035,1.48448048736135,3.5200999976,3.1119999885,1.99322131242154,3.7693999529,3.71299994,1.7278346431795,5.96066670406667,5.886000156,1.88901384140697,9.7708000504,9.232000113,2.5126848135312,8.56306665673333,9.450000048,2.42596013358345,3.79139998753333,3.609999895,.595744050907749,5.29193332993333,5.003000021,1.05721841922521,7.8828000072,7.952000141,1.71013190866648,59,46,41,30,48,45,55,72,64,37,34,39,56,48,1.5,37.83300018,50.4220004,59.01199985,24.70100021,35.20099998,37.69399953,89.41000056,146.5620008,128.4459999,56.87099981,79.37899995,118.2420001,1459.03704,1475.5,729.256534,1617.40278,1678,738.081729,1694.73438,1700,1012.42751,121.472667086667
P18,31,13,7500,110000,1,2,2,4,1,2,4,.333333333333333,.625,.5,1.5,72.2222222222222,2.51424827586207,2.4764,.862134181611098,3.0263999702,2.931999922,.665183207001601,4.0632999422,3.030999899,2.93272910915222,5.8269999742,5.7714999915,2.38819601269429,2.78504999865,2.769999981,1.36152342091669,4.9084000108,3.925500035,3.87052291686823,8.0381999971,7.1659998895,4.0428204947384,7.8637333234,6.311999798,3.14212812560305,8.00146667166667,7.266000032,3.25697942033469,12.1537333645333,11.24199986,4.18539359435199,4.80979998893333,4.91899991,1.0358530055949,8.0715333298,8.398999929,2.56970727467305,14.9960666323333,13.74000001,5.95501464528771,37,22,19,8,16,14,41,27,44,5,3,25,11,28,2.95833333333333,30.2639997,40.63299942,58.26999974,55.70099997,49.08400011,80.38199997,117.9559999,120.0220001,182.3060005,72.14699983,121.0729999,224.9409995,3076.2439,2260,2509.97824,4860.777778,5767,3756.85838,3407.27273,2755,2506.82459,140.094666833333
P19,26,8.5,12500,100000,4,5,5,3,2,4,5,1.33333333333333,1.25,.25,.625,70.3703703703704,1.88410547945205,1.80100000000002,.592730228333827,2.7952000379,2.451500058,1.10640662351288,4.132300043,3.363000035,3.2538296765536,5.3661999942,4.276000142,3.17682054333087,1.2726000309,1.2869999405,.362032343774126,3.0978999851,3.0950000285,1.44531576479168,4.2295999762,2.976999879,2.70231507855529,6.80260003413333,7.090000153,2.32518005870839,7.82259998366667,8.197999954,2.64407333471697,9.69180005293333,10.27900004,2.36503570197739,3.7130666574,3.572999954,.614914248650165,6.45000003186667,7.163000107,1.8320237767321,8.04946667366667,6.993999958,2.51686708743341,50,54,34,23,36,48,68,73,86,25,37,52,57,70,3.45833333333333,27.95200038,41.32300043,53.66199994,12.72600031,30.97899985,42.29599976,102.0390005,117.3389998,145.3770008,55.69599986,96.75000048,120.7420001,1482.77941,1497,628.340051,1493.49315,1348,675.199603,1571.97674,1605,662.210274,121.585000366667
P20,22,4,3000,12000,2,4,3,2,2,2,3,.333333333333333,1.625,.625,1.25,48.1481481481481,2.47832372881356,2.48100000000002,1.03782609322182,3.2939000129,3.350000024,1.19615885725972,4.1921000004,3.9135000705,1.903597263504,5.5877999781,5.766499996,2.0663493838796,3.0273999929,2.8734999895,1.25428898176895,4.4722999811,4.3169999125,1.96156700251354,5.2800000195,5.4744999405,2.67319132952187,4.35286663373333,4.193000078,.856106382426851,6.01406668026667,5.95600009,1.1372468898653,9.20753331253334,8.762000084,1.73222432973161,4.4445333004,4.394999981,.495340449246374,7.11213332826667,7.500999928,1.96619954689257,7.40559999126667,7.565000057,1.60021869655068,59,56,20,9,26,29,44,57,74,15,18,28,41,58,3.83333333333333,32.93900013,41.921,55.87799978,30.27399993,44.72299981,52.8000002,65.29299951,90.2110002,138.1129997,66.66799951,106.6819999,111.0839999,1497.95455,1268.5,979.662019,1369.57895,1486,818.922745,1561.04054,1450,872.193479,97.8723331366667
P21,22,3,1000,100000,1,4,4,3,1,1,2,0,1.625,.75,1.75,31.4814814814815,1.82527922077922,1.749,.85472485667329,2.7797999621,2.7394999265,.702716906096018,3.7197000743,3.325000167,1.85021273669147,4.9944000244,4.67900002,1.81838102998461,2.162700057,2.0640000105,.768708429872982,2.8013000013,2.302000046,1.36044720047491,2.6607999801,2.34950006,1.06945516375377,4.84673333166667,4.756000042,1.29447456985461,5.922666661,5.95600009,.994326170634257,11.4555999757333,11.78800011,3.44590992417385,4.1599333446,4.014000177,.955384629479963,4.88733331366667,4.938999891,.984133233526701,7.65533331226667,7.618999958,1.2796490325443,54,46,21,10,26,31,42,41,62,15,20,26,25,46,4.125,27.7979996,37.19700074,49.94400024,21.62700057,28.01300001,26.6079998,72.70099998,88.83999992,171.8339996,62.39900017,73.30999971,114.8299997,1977.02381,1858,1053.33323,2216.4878,2146,1202.56713,2050.85484,1807.5,1224.39256,111.124999833333
P22,21,3,3000,25000,2,5,4,2,1,4,2,0,1.75,1.125,2.875,40.7407407407407,1.53745581395349,.991900000000001,1.15064350390703,3.3208000423,3.1730000975,1.28084545729926,7.8640999559,6.6039999725,7.52042655356531,4.8943999532,3.892500043,3.10383912834127,2.0363000394,1.878500104,.330212111814629,6.3967000252,5.868999958,4.28446098261343,4.4789000272,5.171000004,1.543256745621,5.72333332693333,5.528000116,1.50507763287127,8.4174666722,8.709000111,3.21982938815492,10.9650000099333,10.42199993,2.25057064472709,6.67733332313333,6.792000055,1.50081189617856,5.14786663053333,5.511999846,1.38415130508278,6.51446673073333,6.512000084,1.4859872542264,45,56,31,20,47,39,51,68,74,36,28,35,52,58,5.75,33.20800042,78.64099956,48.94399953,20.36300039,63.96700025,44.78900027,85.8499999,126.2620001,164.4750001,100.1599998,77.21799946,97.71700096,1712.35294,1617,872.162939,1732.14706,1770.5,821.299321,1687.32432,1775,733.024437,125.529000033333
P23,24,6,1500,15000,1,4,3,2,1,3,5,0,.25,0,.25,64.8148148148148,2.2079875,2.1456,.669993861971409,4.4129999637,4.09649992,2.05893299783332,7.8969999787,5.3619999885,9.2636850226494,7.0900000097,5.9045000075,4.91345637180658,2.1762000083,1.827000022,1.03871060331799,3.7766000271,3.8625000715,1.82124862521577,6.7536000014,6.7419999835,3.40608757715723,6.07720001546667,5.871000051,1.50572785002809,12.8357333174667,12.60800004,3.68598716277674,9.94953331853333,9.814999819,2.11841452008576,3.9900666714,3.929000139,.42551559412233,6.9291333354,6.877000093,1.52338712112632,13.170733326,13.36199999,2.28014817236506,63,64,49,38,58,60,62,80,86,47,49,46,64,70,.5,44.12999964,78.96999979,70.9000001,21.76200008,37.76600027,67.53600001,91.15800023,192.5359998,149.2429998,59.85100007,103.937,197.5609999,1378.56452,1409.5,705.810048,1468.5625,1444,707.088877,1367.94186,1292,647.321274,144.312333276667
P24,23,6,1000,20000,2,4,3,2,1,1,4,.333333333333333,.875,.5,1.625,74.0740740740741,2.2232140625,2.21765,.872247986411609,2.3496000052,2.143999934,.984953535047194,5.1376999611,4.697999954,4.00842853338965,8.8010999919,6.1464999915,7.47693418524894,2.6480000257,2.604500055,.859010929289939,5.4076999901,4.6404999495,3.58254367554809,6.740299988,4.9789999725,5.41985051493307,10.1817333542,9.911999941,2.79698724908099,9.1769999984,8.828999996,1.33746889940702,13.6676000762,13.375,3.58419720966668,5.25960001946667,5.55700016,1.02911746036779,9.72426667213333,9.717000008,1.32659845920486,18.2313332394667,18.24000001,6.8983315716102,82,74,24,13,35,52,86,68,81,24,41,70,52,65,3.33333333333333,23.49600005,51.37699961,88.01099992,26.48000026,54.0769999,67.40299988,152.7260003,137.655,205.0140011,78.89400029,145.8640001,273.4699986,1464.96512,1487.5,711.494441,1877.45588,1917.5,853.39703,1751.01235,1775,702.368929,165.131667133333
P25,27,8,10000,100000,2,4,3,1,1,3,4,.333333333333333,1.625,.5,1.75,79.6296296296296,1.95311527777778,1.88785,.697615878336325,4.1572999716,4.4164999725,2.05430492797671,7.7473000287,6.361500144,5.5213153780361,10.4888999706,10.06799996,4.4533152403827,2.5135000231,2.429499984,.790314232145886,5.5431999678,3.880999923,3.78918600811947,4.127000022,4.15899992,1.76708697716427,12.7520667068667,12.74300003,4.98057100386082,9.21813329066667,9.25999999,2.52713549195477,13.9935999872667,14.38899994,4.26654873100085,7.50593333246667,8.210000038,1.71941569565511,13.1320666620667,13.9519999,4.55522740898176,12.1697333658,12.98699999,2.68819571056436,50,59,37,26,38,52,76,59,65,27,41,60,43,49,4.20833333333333,41.57299972,77.47300029,104.8889997,25.13500023,55.43199968,41.27000022,191.2810006,138.2719994,209.9039998,112.589,196.9809999,182.5460005,2089.44737,2132,1128.88773,2031.38983,2073,1073.26334,2014.35385,2115,967.654161,179.818999933333
