id,car,task,order,attentive_percentage,inattentive_percentage,eyeglasses,age,gender,dr_lic_years,annual_km,lifetime_km,VST1,VST2,VST3,VST_avg,tasks,zero_tasks,inattentiveness_ratio,Zorder,Ztasks,Zdr_lic_years,Zage,Zinattentiveness_ratio
ID7P11,ID7,seat,1,98.6332574031891,1.36674259681093,2,29,2,11,40000,200000,19,15,24,19.33,5,0,1.40203773439186,-1.56524758424985,-.555253432834914,-.718105513237981,-.813309937135106,-.212521497373518
ID7P12,ID7,ac_suunta,10,86.5979381443299,13.4020618556701,1,34,2,16,10000,150000,32,29,36,32.33,16,0,.593920547165973, , , , , 
ID7P12,ID7,ac_temp,1,65.3448275862069,34.6551724137931,1,34,2,16,10000,150000,32,29,36,32.33,17,0,1.47036859871283, , , , , 
ID7P12,ID7,ajotila,8,66.1899313501144,33.8100686498856,1,34,2,16,10000,150000,32,29,36,32.33,28,0,1.43551772146331, , , , , 
ID7P12,ID7,a_baseline, ,76.7508610792193,23.2491389207807,1,34,2,16,10000,150000,32,29,36,32.33, ,0, , , , , , 
ID7P12,ID7,kirkkaus,4,79.4050343249428,20.5949656750572,1,34,2,16,10000,150000,32,29,36,32.33,0,1,.890545670355589, , , , , 
ID7P12,ID7,lane,3,72.0271800679502,27.9728199320498,1,34,2,16,10000,150000,32,29,36,32.33,25,0,1.19479788654078, , , , , 
ID7P12,ID7,latausasema,2,70.8025042686397,29.1974957313603,1,34,2,16,10000,150000,32,29,36,32.33,2,0,1.24530177467268, , , , , 
ID7P12,ID7,navi,7,77.8221208665907,22.1778791334093,1,34,2,16,10000,150000,32,29,36,32.33,4,0,.955822770032172, , , , , 
ID7P12,ID7,puhelu,5,75.9291023441967,24.0708976558033,1,34,2,16,10000,150000,32,29,36,32.33,12,0,1.03388816149367, , , , , 
ID7P12,ID7,radio,6,70.5510907003444,29.4489092996556,1,34,2,16,10000,150000,32,29,36,32.33,8,0,1.25566971264873, , , , , 
ID7P12,ID7,seat,9,85.486624928856,14.513375071144,1,34,2,16,10000,150000,32,29,36,32.33,24,0,.639749523573763, , , , , 
ID7P13,ID7,ac_suunta,6,90.9930715935335,9.00692840646651,1,57,1,38,7000,236000,25,33,37,31.67,14,0,.606208207002015,.173916398249983,.490283833177361,1.10911584505343,1.0442801307626,-.750112110912545
ID7P13,ID7,ac_temp,10,92.4006908462867,7.5993091537133,1,57,1,38,7000,236000,25,33,37,31.67,17,0,.52093625254278,1.56524758424985,.838796255181453,1.10911584505343,1.0442801307626,-.807714148456645
ID7P13,ID7,ajotila,3,92.4669350201265,7.53306497987349,1,57,1,38,7000,236000,25,33,37,31.67,27,0,.516923256724621,-.869581991249919,2.00050432852843,1.10911584505343,1.0442801307626,-.810424966301126
ID7P13,ID7,a_baseline, ,84.4925883694413,15.5074116305587,1,57,1,38,7000,236000,25,33,37,31.67, ,0, , , ,1.10911584505343,1.0442801307626, 
ID7P13,ID7,kirkkaus,7,92.3076923076923,7.69230769230769,1,57,1,38,7000,236000,25,33,37,31.67,1,0,.526569996989146,.52174919474995,-1.0199366621737,1.10911584505343,1.0442801307626,-.803908499094303
ID7P13,ID7,lane,5,96.2047153536515,3.79528464634848,1,57,1,38,7000,236000,25,33,37,31.67,29,0,.290492825515642,-.173916398249985,2.23284594319782,1.10911584505343,1.0442801307626,-.9633809326835
ID7P13,ID7,latausasema,8,88.2019285309132,11.7980714690868,1,57,1,38,7000,236000,25,33,37,31.67,1,0,.77529244171921,.869581991249917,-1.0199366621737,1.10911584505343,1.0442801307626,-.63589405999463
ID7P13,ID7,navi,1,88.7640449438202,11.2359550561798,1,57,1,38,7000,236000,25,33,37,31.67,3,0,.741240076302609,-1.56524758424985,-.787595047504308,1.10911584505343,1.0442801307626,-.65889676520564
ID7P13,ID7,puhelu,4,92.9794520547945,7.02054794520548,1,57,1,38,7000,236000,25,33,37,31.67,12,0,.485875564563327,-.521749194749952,.257942218507967,1.10911584505343,1.0442801307626,-.831397985400711
ID7P13,ID7,radio,9,92.2374429223744,7.76255707762557,1,57,1,38,7000,236000,25,33,37,31.67,10,0,.530825623909493,1.21741478774988,.0256006038385723,1.10911584505343,1.0442801307626,-.801033781572064
ID7P13,ID7,seat,2,92.3603192702395,7.63968072976055,1,57,1,38,7000,236000,25,33,37,31.67,24,0,.523381916160562,-1.21741478774989,1.65199190652433,1.10911584505343,1.0442801307626,-.806062078811647
ID7P14,ID7,ac_suunta,1,99.0291262135922,.970873786407767,2,19,2,1,2000,5000,27,35,29,30.33,13,0,1.68315498538633,-1.56524758424985,.374113025842664,-1.39485416445702,-1.47673496138429,-.0226240504489455
